0,4,20
0,60,20
0,116,20
0,172,20
0,228,20
0,284,20
0,340,20
0,396,20
0,452,20
0,508,20
0,564,20
0,4,60
0,60,60
0,116,60
0,172,60
0,228,60
0,284,60
0,340,60
0,396,60
0,452,60
0,508,60
0,564,60
1,4,100
1,60,100
1,116,100
1,172,100
1,228,100
1,284,100
1,340,100
1,396,100
1,452,100
1,508,100
1,564,100
1,4,140
1,60,140
1,116,140
1,172,140
1,228,140
1,284,140
1,340,140
1,396,140
1,452,140
1,508,140
1,564,140
2,4,180
2,60,180
2,116,180
2,172,180
2,228,180
2,284,180
2,340,180
2,396,180
2,452,180
2,508,180
2,564,180
